file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Crawfordsville-TP2-4353_35_42.TIF,331.56349206349205,465.72222222222223,340.3888888888889,3665.6349206349205,1650.4126984126983,327.10714285714283,Crawfordsville-TP2-4353,35,42,0.04048626294723574,0.041472487031559056,-0.04208657840511464,34000.0,16.65,152.39,68.0,,,,,,,,,,,0.0,209.0
Crawfordsville-TP2-4351_4_16.TIF,350.76623376623377,481.9264069264069,364.4025974025974,4023.5800865800866,1753.025974025974,346.2597402597403,Crawfordsville-TP2-4351,4,16,0.04452290193729749,-0.012131917108661773,0.0039683438201873296,28000.0,21.35,187.1,56.0,,,,,,,,,,,0.0,222.0
Crawfordsville-TP2-4351_23_16.TIF,360.1818181818182,525.9338842975206,383.1280991735537,4475.3140495867765,1942.6694214876034,365.06198347107437,Crawfordsville-TP2-4351,23,16,0.04979152505892628,-0.006106167147801515,-0.02887942858747513,29000.0,16.3,151.08,58.0,,,,,,,,,,,0.0,242.0
Crawfordsville-TP2-4352_16_5.TIF,325.6611570247934,458.1363636363636,335.5495867768595,3759.913223140496,1646.5082644628098,319.5289256198347,Crawfordsville-TP2-4352,16,5,0.04163981475999403,0.0019318229009668568,0.0066394921240931935,29000.0,19.87,179.36,58.0,,,,,,,,,,,0.0,213.0
Crawfordsville-TP2-4352_23_2.TIF,352.8388429752066,479.2685950413223,359.1404958677686,3959.400826446281,1759.2272727272727,337.76446280991735,Crawfordsville-TP2-4352,23,2,0.0438542826838191,0.02664954020526928,-0.0011050543027343455,29500.0,17.15,154.81,59.0,,,,,,,,,,,3.39,214.0
Crawfordsville-TP2-4351_13_13.TIF,310.12698412698415,445.6507936507937,334.3968253968254,3846.3333333333335,1662.4761904761904,310.7261904761905,Crawfordsville-TP2-4351,13,13,0.0427877134434361,-0.0137666245593992,-0.01151788849496732,30000.0,14.39,135.49,60.0,,,,,,,,,,,0.0,200.0
Crawfordsville-TP2-4353_11_43.TIF,311.9280303030303,432.5681818181818,318.530303030303,3549.0151515151515,1549.128787878788,304.4469696969697,Crawfordsville-TP2-4353,11,43,0.03926022260094751,-0.00550656729810139,0.019581916339134094,36000.0,20.2,182.34,72.0,,,,,,,,,,,0.0,238.0
Crawfordsville-TP2-4353_10_43.TIF,313.7083333333333,446.2916666666667,318.6931818181818,3634.507575757576,1614.409090909091,306.7234848484849,Crawfordsville-TP2-4353,10,43,0.04032225835160024,0.02955973583116392,-0.015843022601260092,30000.0,20.71,186.07,60.0,,,,,,,,,,,1.67,238.0
Crawfordsville-TP2-4351_14_15.TIF,318.1587301587302,446.47222222222223,325.484126984127,3475.5198412698414,1560.9642857142858,314.8531746031746,Crawfordsville-TP2-4351,14,15,0.038323518659170115,0.03265275399722518,-0.03291670978316423,29000.0,17.09,154.26,58.0,,,,,,,,,,,0.0,203.0
Crawfordsville-TP2-4352_4_2.TIF,340.7878787878788,511.5238095238095,368.008658008658,4316.69696969697,1890.3333333333333,346.43722943722946,Crawfordsville-TP2-4352,4,2,0.0480996906169441,0.01562863285975761,-0.05143016063596435,31500.0,13.53,131.24,63.0,,,,,,,,,,,0.0,264.0
Crawfordsville-TP2-4353_32_45.TIF,347.74603174603175,475.6388888888889,350.6587301587302,3735.6666666666665,1665.281746031746,330.031746031746,Crawfordsville-TP2-4353,32,45,0.04118382824196822,0.024718025877033728,0.024270895123042584,27500.0,17.05,153.19,55.0,,,,,,,,,,,5.45,224.0
Crawfordsville-TP2-4353_15_42.TIF,307.780303030303,430.07575757575756,321.6628787878788,3615.560606060606,1538.2765151515152,302.8068181818182,Crawfordsville-TP2-4353,15,42,0.04001191721376077,-0.04547794896153536,0.052879376330318806,30500.0,25.68,223.97,61.0,,,,,,,,,,,1.64,259.0
Crawfordsville-TP2-4351_22_17.TIF,304.1931818181818,425.8901515151515,321.4128787878788,3511.814393939394,1527.0492424242425,296.155303030303,Crawfordsville-TP2-4351,22,17,0.03885452653308015,-0.011347099632324014,0.022675400598664092,28500.0,13.98,132.22,57.0,,,,,,,,,,,0.0,223.0
Crawfordsville-TP2-4352_11_9.TIF,405.09090909090907,569.3722943722944,407.20346320346323,4410.419913419913,1997.7229437229437,390.42857142857144,Crawfordsville-TP2-4352,11,9,0.04870927522567074,0.06591711525599345,-0.025937203451099657,32000.0,19.67,178.59,64.0,,,,,,,,,,,0.0,199.0
Crawfordsville-TP2-4353_28_43.TIF,345.41269841269843,500.4325396825397,360.4007936507937,4284.575396825397,1835.8095238095239,340.0833333333333,Crawfordsville-TP2-4353,28,43,0.047679656861886306,-0.02591040399031847,0.036422129168425056,32500.0,24.54,216.61,65.0,,,,,,,,,,,0.0,229.0
